pest_common_name,pest_scientific_name,pest_type,record_type,year_first_detected_us,estimated_year_arrival,origin_country,origin_region,mode_of_entry,commodity_pathway,port_of_entry,host_plant_animal,us_states_affected,spread_rate_km_per_year,economic_impact_usd,impact_sector,inoculum_type,quarantine_status,eradication_status,data_verified_date,data_sources,economic_impact_source_url,economic_impact_year,economic_verified_date
Emerald Ash Borer,Agrilus planipennis,Insect - Beetle,Pest,2002,1992,China,"East Asia (China, Korea, Mongolia, Russia, Taiwan)",Cargo,Wooden crates and packing materials,Detroit MI,Ash trees (Fraxinus spp.),"MI, OH, IN, IL, PA, NY, WI, MN, MO, VA, WV, MD, KY, TN, CO and 30+ others",20,"$10.7 billion cumulative urban/suburban ash removal and replacement (Kovacs et al. 2010, J. Forest Economics); ~$1.7 billion/year ongoing management",Forestry/Urban Forestry,Not applicable — insect pest,Federal quarantine lifted 2021; management ongoing,Established,2026-04-10,USDA APHIS; USFS NRS-2010; Invasive Species Info,https://doi.org/10.1007/s11842-010-9131-2,2010,2026-04-13
Spotted Lanternfly,Lycorma delicatula,Insect - Planthopper,Pest,2014,2012,China,"East Asia (China, South Korea, Japan, Vietnam)",Cargo,Egg masses on stone shipment,Berks County PA,"Tree of heaven (Ailanthus altissima); grapes, apples, hops, hardwoods","PA, NJ, NY, DE, MD, VA, WV, CT, OH, IN, MA, NC, SC, TN, KY, RI, GA, IL, MI and DC",50,$554 million/year potential losses to PA alone if unchecked (Penn State Extension 2022); current quarantine zone losses ~$50 million/year,Agriculture/Horticulture/Forestry,Not applicable — insect pest,State and federal quarantine orders active,Established,2026-04-12,USDA APHIS 2025; Penn State Extension; Dara et al. 2019 (Penn State College of Agricultural Sciences),https://extension.psu.edu/spotted-lanternfly,2022,2026-04-13
Brown Marmorated Stink Bug,Halyomorpha halys,Insect - True Bug,Pest,1998,1996,China,East Asia (China — Beijing origin confirmed by genetic analysis),Unknown - likely cargo,Shipping containers or packing materials,Allentown PA,"Apples, peaches, peppers, tomatoes, beans, soybeans, grapes; 100+ plant species","PA, NJ, MD, VA, WV, NC, OR, WA and 44+ states",30-50,"$37 million/year peak agricultural damage in mid-Atlantic states (Leskey et al. 2012, J. Econ. Entomol.); broader annual management and crop losses estimated at $200 million/year",Agriculture/Horticulture,Not applicable — insect pest,No federal quarantine (established); biocontrol research ongoing,Established,2026-04-10,StopBMSB.org; USDA ARS; Hoebeke & Carter 2003 (first formal ID),https://doi.org/10.1603/EC11093,2012,2026-04-13
Citrus Greening (HLB) via Asian Citrus Psyllid,Diaphorina citri (vector) / Candidatus Liberibacter asiaticus (pathogen),Insect vector + bacterial pathogen,Pest & Pathogen,1998 (vector FL); 2005 (disease FL); 2012 (disease CA — Los Angeles),Late 1990s,Asia (South/Southeast Asia),South Asia / Southeast Asia,Likely ornamental plant trade,Ornamental Murraya paniculata (orange-jasmine) nursery stock,Palm Beach County FL (vector 1998); Hacienda Heights LA County CA (disease 2012),"Citrus (all species) — oranges, grapefruit, lemons, limes","FL (primary epidemic), CA (LA, Orange, Riverside, San Bernardino, San Diego, Ventura counties — expanding)",Established,"$9.0 billion cumulative Florida citrus industry losses 2007–2016 (Singerman & Useche 2016, UF/IFAS FE1006); ~$1.3 billion/year ongoing; FL orange production down 90%+ since 2005",Agriculture - Citrus,Phloem-limited bacterium — transmitted by Asian citrus psyllid (circulative persistent); no seed transmission,Federal quarantine zones FL and CA; strict movement restrictions; no cure exists,Established,2026-04-10,USDA APHIS; FDACS; CDFA/UCANR — HLB first CA detection confirmed 2012 (CDFA Press Release); APHIS quarantine expansions 2023,https://edis.ifas.ufl.edu/publication/FE1006,2016,2026-04-13
Asian Longhorned Beetle,Anoplophora glabripennis,Insect - Beetle,Pest,1996,1992,China,"East Asia (China, Korea)",Cargo,Wooden packing crates from Asia,Brooklyn NY,Maples and other hardwoods (Acer; Populus; Salix; Ulmus; Betula; Fraxinus),"NY, NJ, IL, MA, OH (eradicated in some areas; ongoing in Worcester MA and Spartanburg SC)",10-20,$41.1 billion potential US hardwood industry losses if unchecked (USDA APHIS EA 2008); annual federal eradication program cost ~$40 million/year (USDA APHIS Program Data 2022),Forestry/Urban Forestry,Not applicable — insect pest,Federal eradication program active; quarantine zones in MA and SC,Eradication Ongoing,2026-04-10,USDA APHIS ALB EIS; Nowak et al. 2001; USFS NRS,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/asian-longhorned-beetle,2008,2026-04-13
Sudden Oak Death,Phytophthora ramorum,Oomycete (Water Mold),Pathogen/Disease,1995,Early 1990s,Europe (nursery trade — genome studies confirm 3 European clonal lineages),Europe — 3 clonal lineages introduced via ornamental nursery trade,Nursery stock,Ornamental nursery trade (rhododendrons and camellias as primary hosts),Marin County CA (first report 1995),Oaks (Quercus spp.); Lithocarpus; Rhododendron; Camellia; 100+ species,"CA (16 counties), OR (Curry County)",Slow-spreading,"$135 million estimated discounted property loss to homeowners (Kovacs et al. 2011, Forest Policy & Economics); $7.5 million urban tree removal costs documented; millions of tanoak and coast live oak killed",Forestry/Nursery Industry,Oomycete zoospores and sporangia — airborne (aerosols/rain splash) and waterborne; survives in soil and water; spread via infected nursery stock,Federal quarantine on nursery stock; CA state quarantine; no cure — management only,Established,2026-04-10,USDA APHIS; USFS PSW; Grünwald et al. 2012 — genome confirms European nursery origin; USFS property value study (research.fs.usda.gov/treesearch/37397),https://doi.org/10.1016/j.forpol.2010.09.009,2011,2026-04-13
Hemlock Woolly Adelgid,Adelges tsugae,Insect - Adelgid,Pest,1951 (VA); rapid spread from 1980s,1950s,Japan,East Asia (Southern Japan),Unknown — likely horticultural trade,Ornamental hemlock imports,Virginia (first US detection),Eastern hemlock (Tsuga canadensis); Carolina hemlock (Tsuga caroliniana),"CT, DE, GA, KY, MA, MD, ME, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, WV",15-25 (southward spread),"$3.5 billion in ecosystem service losses and timber value at risk across eastern US (USFS NRS, Ellison et al. 2005, Science); annual removal/treatment costs in hundreds of millions",Forestry,Not applicable — insect pest,State quarantines; biocontrol programs with Laricobius nigrinus underway,Established,2026-04-12,USDA Forest Service; USFS NRS Economic Impacts of HWA research program; Invasive Species Info,https://doi.org/10.1126/science.1115242,2005,2026-04-13
Wheat Stem Rust Race Ug99,Puccinia graminis f. sp. tritici (race Ug99/TTKSK),Fungal Pathogen - Rust,Pathogen/Disease,Not yet established in US (high-risk watch),Not arrived,Uganda,East Africa — spreading to South Asia and Middle East,Wind dispersal (airborne spores),Atmospheric dispersal across continents,Not applicable — wind dispersal threat,Wheat (Triticum aestivum) and barley,Not yet established — high risk: KS; OK; TX; Great Plains,Airborne — rapid international spread,$10 billion+ potential annual losses to US wheat production if Ug99 establishes (USDA ARS Strategic Plan); 90% of global wheat varieties susceptible (FAO/CIMMYT),Agriculture - Wheat,Wind-dispersed urediospores (urediniospores) — viable for days to weeks in atmosphere; long-distance dispersal confirmed across continents,USDA active surveillance and emergency preparedness; no quarantine needed (not yet present),Not Yet Arrived,2026-04-10,USDA ARS; FAO GRIIN; Singh et al. 2011,https://www.ars.usda.gov/oc/utm/stem-rust-race-ug99-poses-a-threat-to-wheat/,2014,2026-04-13
Soybean Aphid,Aphis glycines,Insect - Aphid,Pest,2000,2000,China,"East Asia (China, Korea, Japan, Taiwan)",Unknown — likely plant trade,Likely ornamental Rhamnus (buckthorn) movement,Wisconsin (first US detection 2000),Soybean (Glycine max); overwinters on buckthorn (Rhamnus spp.),"WI, MN, IA, IL, IN, OH, MI, MO, SD, ND, NE and all major soybean states",Rapid (hundreds of km/year via wind),"$2.4 billion/year estimated potential losses without insecticide management (Ragsdale et al. 2011, Annu. Rev. Entomol.); infested 42 million acres in 2003",Agriculture - Soybeans,Not applicable — insect pest,No federal quarantine (established); IPM and biocontrol deployed,Established,2026-04-10,USDA APHIS; UMN Extension; USDA ARS,https://doi.org/10.1146/annurev-ento-120709-144755,2011,2026-04-13
Plum Pox Virus (Sharka),Plum pox potyvirus (PPV),Viral Pathogen,Pathogen/Disease,1999,1999,Europe (Bulgaria — confirmed origin),Europe,Likely infected nursery budwood,Budwood or nursery plant imports,Adams County PA (first detection),"Stone fruits (Prunus spp.) — peaches, plums, apricots, cherries","PA, NY, MI (all eradicated by 2019)",Slow,$50+ million federal and state eradication costs over 20 years (USDA APHIS); successfully protected the $6.3 billion US stone fruit industry from establishment,Agriculture - Stone Fruits,Aphid-vectored viral particles (non-persistent transmission); also spread via infected budwood and nursery stock,Eradication declared complete by USDA APHIS in 2019 — US now PPV-free,Eradicated,2026-04-10,USDA APHIS; Penn State Extension; USDA PPV eradication declaration 2019,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/plum-pox,2015,2026-04-13
Laurel Wilt,Raffaelea lauricola (fungus) / Xyleborus glabratus (vector),Fungal pathogen + insect vector,Pathogen/Disease,2002,2002,Asia (Japan/Taiwan — most likely origin),East Asia,Cargo,Wooden packing materials (dunnage),Port of Savannah GA,Redbay (Persea borbonia); avocado; spicebush; sassafras (Lauraceae family),"GA, FL, SC, NC, AL, MS, LA, TX, AR",40-80 (along avocado and redbay range),$1+ billion threat to Florida avocado industry (UF/IFAS 2019); catastrophic redbay ecosystem losses ongoing in coastal SE US — full quantification underway,Forestry/Agriculture - Avocado,Fungal conidia — carried as mycangia by Xyleborus glabratus ambrosia beetle; introduced directly into xylem during beetle boring,State quarantines on host material movement,Established,2026-04-10,USDA APHIS; University of Florida IFAS,https://edis.ifas.ufl.edu/publication/PP325,2019,2026-04-13
Thousand Cankers Disease,Geosmithia morbida (fungus) / Pityophthorus juglandis (vector),Fungal pathogen + insect vector,Pathogen/Disease,2008 (formally recognized); 2010 (first eastern US — Knoxville TN),2001 (killing trees in western US),Unknown — likely western North America spread,Western North America,Movement of infected wood,Firewood or lumber movement within US,Western US (origin); Knoxville TN (first eastern detection 2010),Eastern black walnut (Juglans nigra); other Juglans spp.,"NM, CO, UT, OR, WA, CA, ID, NV (west); TN, VA, PA, OH (east — expanding)",Slow range expansion,$2 billion+ US black walnut timber and nut industry at long-term risk (USFS 2019); currently spreading through 11 states; annual damage costs under active quantification,Forestry/Agriculture - Nuts,Fungal conidia carried in walnut twig beetle (Pityophthorus juglandis) mycangia; multiple beetle attacks create cumulative cankers ('thousand cankers'),Quarantine on black walnut wood movement in some states,Established,2026-04-10,USDA APHIS; USFS Region 8; University of Tennessee,https://thousandcankers.com/,2019,2026-04-13
Swede Midge,Contarinia nasturtii,Insect - Midge (Diptera),Pest,2004,2004,Europe and Southwestern Asia,Europe,Unknown — likely nursery/produce trade from Canada (North America first: Ontario 2000),Brassica produce or ornamental plant trade,Niagara County NY (first US detection 2004),"Broccoli, cabbage, cauliflower, kale, Brussels sprouts, canola (Brassicaceae family)","NY, VT, MA, CT, PA, OH, WI and expanding",Moderate (spread via produce trade),$87 million/year NY State cabbage and brassica crop industry at direct risk (Cornell University Extension); Ontario Canada reported 85% broccoli crop losses before identification,Agriculture - Brassica Vegetables,Not applicable — insect pest,No federal quarantine; state-level monitoring; IPM guidance from Cornell,Established,2026-04-10,Cornell University Swede Midge Info Center; USDA APHIS,https://nysipm.cornell.edu/agriculture/vegetables/swede-midge/,2014,2026-04-13
